"date","state","sector","mode","installed_capacity"
"21-12-2023","Uttarakhand","STATE SECTOR","RES","72.37"
"21-12-2023","Uttarakhand","PVT SECTOR","Thermal","664"
"21-12-2023","Uttarakhand","PVT SECTOR","Nuclear","NA"
"21-12-2023","Uttarakhand","PVT SECTOR","Hydro","829"
"21-12-2023","Uttarakhand","PVT SECTOR","RES","861.72"
"21-12-2023","Uttarakhand","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Uttarakhand","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Uttarakhand","CENTRAL SECTOR","Hydro","1804.2"
"21-12-2023","Uttarakhand","CENTRAL SECTOR","RES","NA"
"21-12-2023","West Bengal","STATE SECTOR","Thermal","4890"
"21-12-2023","West Bengal","STATE SECTOR","Nuclear","NA"
"21-12-2023","West Bengal","STATE SECTOR","Hydro","986"
"21-12-2023","West Bengal","STATE SECTOR","RES","121.95"
"21-12-2023","West Bengal","PVT SECTOR","Thermal","2037"
"21-12-2023","West Bengal","PVT SECTOR","Nuclear","NA"
"21-12-2023","West Bengal","PVT SECTOR","Hydro","NA"
"21-12-2023","West Bengal","PVT SECTOR","RES","514.07"
"21-12-2023","West Bengal","CENTRAL SECTOR","Thermal","6640"
"21-12-2023","West Bengal","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","West Bengal","CENTRAL SECTOR","Hydro","355.2"
"21-12-2023","West Bengal","CENTRAL SECTOR","RES","NA"
