"date","state","sector","mode","installed_capacity"
"21-12-2023","Chhatisgarh","PVT SECTOR","Hydro","NA"
"21-12-2023","Chhatisgarh","PVT SECTOR","RES","1355.19"
"21-12-2023","Chhatisgarh","CENTRAL SECTOR","Thermal","7680"
"21-12-2023","Chhatisgarh","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Chhatisgarh","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Chhatisgarh","CENTRAL SECTOR","RES","NA"
"21-12-2023","Dadra and Nagar Haveli and Daman and Diu","STATE SECTOR","Thermal","NA"
"21-12-2023","Dadra and Nagar Haveli and Daman and Diu","STATE SECTOR","Nuclear","NA"
"21-12-2023","Dadra and Nagar Haveli and Daman and Diu","STATE SECTOR","Hydro","NA"
"21-12-2023","Dadra and Nagar Haveli and Daman and Diu","STATE SECTOR","RES","NA"
"21-12-2023","Dadra and Nagar Haveli and Daman and Diu","PVT SECTOR","Thermal","NA"
"21-12-2023","Dadra and Nagar Haveli and Daman and Diu","PVT SECTOR","Nuclear","NA"
"21-12-2023","Dadra and Nagar Haveli and Daman and Diu","PVT SECTOR","Hydro","NA"
"21-12-2023","Dadra and Nagar Haveli and Daman and Diu","PVT SECTOR","RES","46.47"
"21-12-2023","Dadra and Nagar Haveli and Daman and Diu","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Dadra and Nagar Haveli and Daman and Diu","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Dadra and Nagar Haveli and Daman and Diu","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Dadra and Nagar Haveli and Daman and Diu","CENTRAL SECTOR","RES","NA"
"21-12-2023","Delhi","STATE SECTOR","Thermal","2100.4"
"21-12-2023","Delhi","STATE SECTOR","Nuclear","NA"
"21-12-2023","Delhi","STATE SECTOR","Hydro","NA"
"21-12-2023","Delhi","STATE SECTOR","RES","NA"
"21-12-2023","Delhi","PVT SECTOR","Thermal","108"
"21-12-2023","Delhi","PVT SECTOR","Nuclear","NA"
"21-12-2023","Delhi","PVT SECTOR","Hydro","NA"
"21-12-2023","Delhi","PVT SECTOR","RES","320.41"
"21-12-2023","Goa","STATE SECTOR","Thermal","NA"
"21-12-2023","Goa","STATE SECTOR","Nuclear","NA"
"21-12-2023","Goa","STATE SECTOR","Hydro","NA"
"21-12-2023","Goa","STATE SECTOR","RES","0.05"
"21-12-2023","Goa","PVT SECTOR","Thermal","48"
"21-12-2023","Goa","PVT SECTOR","Nuclear","NA"
"21-12-2023","Goa","PVT SECTOR","Hydro","NA"
"21-12-2023","Goa","PVT SECTOR","RES","37.7"
"21-12-2023","Goa","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Goa","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Goa","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Goa","CENTRAL SECTOR","RES","NA"
"21-12-2023","Gujarat","STATE SECTOR","Thermal","7587.82"
"21-12-2023","Gujarat","STATE SECTOR","Nuclear","NA"
"21-12-2023","Gujarat","STATE SECTOR","Hydro","1990"
"21-12-2023","Gujarat","STATE SECTOR","RES","95.04"
"21-12-2023","Gujarat","PVT SECTOR","Thermal","14742"
"21-12-2023","Gujarat","PVT SECTOR","Nuclear","NA"
"21-12-2023","Gujarat","PVT SECTOR","Hydro","NA"
"21-12-2023","Gujarat","PVT SECTOR","RES","21558.27"
"21-12-2023","Gujarat","CENTRAL SECTOR","Thermal","1313.59"
"21-12-2023","Gujarat","CENTRAL SECTOR","Nuclear","1140"
"21-12-2023","Gujarat","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Gujarat","CENTRAL SECTOR","RES","243.3"
"21-12-2023","Haryana","STATE SECTOR","Thermal","2510"
"21-12-2023","Haryana","STATE SECTOR","Nuclear","NA"
"21-12-2023","Haryana","STATE SECTOR","Hydro","NA"
"21-12-2023","Haryana","STATE SECTOR","RES","69.3"
"21-12-2023","Haryana","PVT SECTOR","Thermal","1320"
"21-12-2023","Haryana","PVT SECTOR","Nuclear","NA"
"21-12-2023","Haryana","PVT SECTOR","Hydro","NA"
"21-12-2023","Haryana","PVT SECTOR","RES","1503.62"
"21-12-2023","Haryana","CENTRAL SECTOR","Thermal","1931.59"
"21-12-2023","Haryana","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Haryana","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Haryana","CENTRAL SECTOR","RES","5"
"21-12-2023","Himachal Pradesh","STATE SECTOR","Thermal","NA"
"21-12-2023","Himachal Pradesh","STATE SECTOR","Nuclear","NA"
"21-12-2023","Himachal Pradesh","STATE SECTOR","Hydro","888"
"21-12-2023","Himachal Pradesh","STATE SECTOR","RES","256.61"
"21-12-2023","Himachal Pradesh","PVT SECTOR","Thermal","NA"
"21-12-2023","Himachal Pradesh","PVT SECTOR","Nuclear","NA"
"21-12-2023","Himachal Pradesh","PVT SECTOR","Hydro","2109"
"21-12-2023","Himachal Pradesh","PVT SECTOR","RES","834.85"
"21-12-2023","Himachal Pradesh","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Himachal Pradesh","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Himachal Pradesh","CENTRAL SECTOR","Hydro","7266.02"
"21-12-2023","Himachal Pradesh","CENTRAL SECTOR","RES","NA"
"21-12-2023","Jammu and Kashmir","STATE SECTOR","Thermal","175"
"21-12-2023","Jammu and Kashmir","STATE SECTOR","Nuclear","NA"
"21-12-2023","Jammu and Kashmir","STATE SECTOR","Hydro","1110"
"21-12-2023","Jammu and Kashmir","STATE SECTOR","RES","97.18"
"21-12-2023","Jammu and Kashmir","PVT SECTOR","Thermal","NA"
"21-12-2023","Jammu and Kashmir","PVT SECTOR","Nuclear","NA"
"21-12-2023","Jammu and Kashmir","PVT SECTOR","Hydro","NA"
"21-12-2023","Jammu and Kashmir","PVT SECTOR","RES","119.23"
"21-12-2023","Jammu and Kashmir","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Jammu and Kashmir","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Jammu and Kashmir","CENTRAL SECTOR","Hydro","2250"
"21-12-2023","Jammu and Kashmir","CENTRAL SECTOR","RES","NA"
"21-12-2023","Jharkhand","STATE SECTOR","Thermal","420"
"21-12-2023","Jharkhand","STATE SECTOR","Nuclear","NA"
"21-12-2023","Jharkhand","STATE SECTOR","Hydro","130"
"21-12-2023","Jharkhand","STATE SECTOR","RES","4.05"
"21-12-2023","Jharkhand","PVT SECTOR","Thermal","1830"
"21-12-2023","Jharkhand","PVT SECTOR","Nuclear","NA"
"21-12-2023","Jharkhand","PVT SECTOR","Hydro","NA"
"21-12-2023","Jharkhand","PVT SECTOR","RES","135.87"
"21-12-2023","Jharkhand","CENTRAL SECTOR","Thermal","2660"
"21-12-2023","Jharkhand","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Jharkhand","CENTRAL SECTOR","Hydro","80"
"21-12-2023","Jharkhand","CENTRAL SECTOR","RES","NA"
"21-12-2023","Karnataka","STATE SECTOR","Thermal","5020"
"21-12-2023","Karnataka","STATE SECTOR","Nuclear","NA"
"21-12-2023","Karnataka","STATE SECTOR","Hydro","3689.2"
"21-12-2023","Karnataka","STATE SECTOR","RES","193.885"
"21-12-2023","Karnataka","PVT SECTOR","Thermal","2085.2"
"21-12-2023","Karnataka","PVT SECTOR","Nuclear","NA"
"21-12-2023","Karnataka","PVT SECTOR","Hydro","NA"
"21-12-2023","Karnataka","PVT SECTOR","RES","17891.99"
"21-12-2023","Karnataka","CENTRAL SECTOR","Thermal","2400"
"21-12-2023","Karnataka","CENTRAL SECTOR","Nuclear","880"
"21-12-2023","Karnataka","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Karnataka","CENTRAL SECTOR","RES","NA"
"21-12-2023","Kerala","STATE SECTOR","Thermal","159.96"
"21-12-2023","Kerala","STATE SECTOR","Nuclear","NA"
"21-12-2023","Kerala","STATE SECTOR","Hydro","1864.15"
"21-12-2023","Kerala","STATE SECTOR","RES","211.896"
"21-12-2023","Kerala","PVT SECTOR","Thermal","174"
"21-12-2023","Kerala","PVT SECTOR","Nuclear","NA"
"21-12-2023","Kerala","PVT SECTOR","Hydro","NA"
"21-12-2023","Kerala","PVT SECTOR","RES","932.424"
"21-12-2023","Kerala","CENTRAL SECTOR","Thermal","359.58"
"21-12-2023","Kerala","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Kerala","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Kerala","CENTRAL SECTOR","RES","50"
"21-12-2023","Ladakh","STATE SECTOR","Thermal","NA"
